STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,FREQ,Fréquence d'observation,ADJUSTMENT,Ajustement,REF_AREA,Zone de référence,SECTOR,Secteur institutionnel,COUNTERPART_SECTOR,Secteur institutionnel de contrepartie,TRANSACTION,Transaction,INSTR_ASSET,Instruments financiers et actifs non financiers,ACTIVITY,Activité économique,EXPENDITURE,Dépense,UNIT_MEASURE,Unité de mesure,PRICE_BASE,Type de prix,TRANSFORMATION,Transformation,TABLE_IDENTIFIER,Identifiant de tableau,TIME_PERIOD,Période temporelle,OBS_VALUE,Valeur d'observation,REF_YEAR_PRICE,Prix ​​année de référence,BASE_PER,Période de base,CONF_STATUS,Statut de confidentialité,DECIMALS,Décimales,OBS_STATUS,Statut d'observation,UNIT_MULT,Multiplicateur d'unité,CURRENCY,Monnaie
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_USD(1.1),"PIB trimestriel - approche des dépenses, en dollars des Etats-Unis",I,Q,Trimestrielle,Y,Corrigé des variations saisonnières et des effets de calendrier,USA,États-Unis,S1,Economie totale,S1,Economie totale,B1GQ,Produit intérieur brut,_Z,Non applicable,_Z,Non applicable,_Z,Non-applicable,USD_PPP,"Dollars des É-U, PPA convertis",LR,Volumes chaînés (rebasés),LA,Niveaux annuels,T0102,Tableau 0102 - PIB selon l'approche de la dépense,1971-Q3,,5813889,,2020,,,,F,Libre (libre pour publication),1,One,A,Normal value,6,Millions,USD,Dollars des États-Unis
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_USD(1.1),"PIB trimestriel - approche des dépenses, en dollars des Etats-Unis",I,Q,Trimestrielle,Y,Corrigé des variations saisonnières et des effets de calendrier,USA,États-Unis,S13,Administrations publiques,S1,Economie totale,P3,Dépense de consommation finale,_Z,Non applicable,_Z,Non applicable,_T,Total,USD_PPP,"Dollars des É-U, PPA convertis",LR,Volumes chaînés (rebasés),LA,Niveaux annuels,T0102,Tableau 0102 - PIB selon l'approche de la dépense,1979-Q3,,1532410,,2020,,,,F,Libre (libre pour publication),1,One,E,Estimated value,6,Millions,USD,Dollars des États-Unis
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_USD(1.1),"PIB trimestriel - approche des dépenses, en dollars des Etats-Unis",I,Q,Trimestrielle,Y,Corrigé des variations saisonnières et des effets de calendrier,USA,États-Unis,S13,Administrations publiques,S1,Economie totale,P3,Dépense de consommation finale,_Z,Non applicable,_Z,Non applicable,_T,Total,USD_PPP,"Dollars des É-U, PPA convertis",LR,Volumes chaînés (rebasés),LA,Niveaux annuels,T0102,Tableau 0102 - PIB selon l'approche de la dépense,1979-Q2,,1552373.4,,2020,,,,F,Libre (libre pour publication),1,One,E,Estimated value,6,Millions,USD,Dollars des États-Unis
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_USD(1.1),"PIB trimestriel - approche des dépenses, en dollars des Etats-Unis",I,Q,Trimestrielle,Y,Corrigé des variations saisonnières et des effets de calendrier,USA,États-Unis,S1,Economie totale,S1,Economie totale,B1GQ,Produit intérieur brut,_Z,Non applicable,_Z,Non applicable,_Z,Non-applicable,USD_PPP,"Dollars des É-U, PPA convertis",LR,Volumes chaînés (rebasés),LA,Niveaux annuels,T0102,Tableau 0102 - PIB selon l'approche de la dépense,1988-Q4,,10191984.2,,2020,,,,F,Libre (libre pour publication),1,One,A,Normal value,6,Millions,USD,Dollars des États-Unis
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_USD(1.1),"PIB trimestriel - approche des dépenses, en dollars des Etats-Unis",I,Q,Trimestrielle,Y,Corrigé des variations saisonnières et des effets de calendrier,USA,États-Unis,S13,Administrations publiques,S1,Economie totale,P3,Dépense de consommation finale,_Z,Non applicable,_Z,Non applicable,_T,Total,USD_PPP,"Dollars des É-U, PPA convertis",LR,Volumes chaînés (rebasés),LA,Niveaux annuels,T0102,Tableau 0102 - PIB selon l'approche de la dépense,1981-Q2,,1600345.2,,2020,,,,F,Libre (libre pour publication),1,One,E,Estimated value,6,Millions,USD,Dollars des États-Unis
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_USD(1.1),"PIB trimestriel - approche des dépenses, en dollars des Etats-Unis",I,Q,Trimestrielle,Y,Corrigé des variations saisonnières et des effets de calendrier,USA,États-Unis,S13,Administrations publiques,S1,Economie totale,P3,Dépense de consommation finale,_Z,Non applicable,_Z,Non applicable,_T,Total,USD_PPP,"Dollars des É-U, PPA convertis",LR,Volumes chaînés (rebasés),LA,Niveaux annuels,T0102,Tableau 0102 - PIB selon l'approche de la dépense,1981-Q1,,1582283.8,,2020,,,,F,Libre (libre pour publication),1,One,E,Estimated value,6,Millions,USD,Dollars des États-Unis
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_USD(1.1),"PIB trimestriel - approche des dépenses, en dollars des Etats-Unis",I,Q,Trimestrielle,Y,Corrigé des variations saisonnières et des effets de calendrier,USA,États-Unis,S13,Administrations publiques,S1,Economie totale,P3,Dépense de consommation finale,_Z,Non applicable,_Z,Non applicable,_T,Total,USD_PPP,"Dollars des É-U, PPA convertis",LR,Volumes chaînés (rebasés),LA,Niveaux annuels,T0102,Tableau 0102 - PIB selon l'approche de la dépense,1980-Q4,,1568118.7,,2020,,,,F,Libre (libre pour publication),1,One,E,Estimated value,6,Millions,USD,Dollars des États-Unis
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_USD(1.1),"PIB trimestriel - approche des dépenses, en dollars des Etats-Unis",I,Q,Trimestrielle,Y,Corrigé des variations saisonnières et des effets de calendrier,USA,États-Unis,S13,Administrations publiques,S1,Economie totale,P3,Dépense de consommation finale,_Z,Non applicable,_Z,Non applicable,_T,Total,USD_PPP,"Dollars des É-U, PPA convertis",LR,Volumes chaînés (rebasés),LA,Niveaux annuels,T0102,Tableau 0102 - PIB selon l'approche de la dépense,1980-Q3,,1573161.7,,2020,,,,F,Libre (libre pour publication),1,One,E,Estimated value,6,Millions,USD,Dollars des États-Unis
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_USD(1.1),"PIB trimestriel - approche des dépenses, en dollars des Etats-Unis",I,Q,Trimestrielle,Y,Corrigé des variations saisonnières et des effets de calendrier,USA,États-Unis,S13,Administrations publiques,S1,Economie totale,P3,Dépense de consommation finale,_Z,Non applicable,_Z,Non applicable,_T,Total,USD_PPP,"Dollars des É-U, PPA convertis",LR,Volumes chaînés (rebasés),LA,Niveaux annuels,T0102,Tableau 0102 - PIB selon l'approche de la dépense,1963-Q3,,1100848.5,,2020,,,,F,Libre (libre pour publication),1,One,E,Estimated value,6,Millions,USD,Dollars des États-Unis
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_USD(1.1),"PIB trimestriel - approche des dépenses, en dollars des Etats-Unis",I,Q,Trimestrielle,Y,Corrigé des variations saisonnières et des effets de calendrier,USA,États-Unis,S13,Administrations publiques,S1,Economie totale,P3,Dépense de consommation finale,_Z,Non applicable,_Z,Non applicable,_T,Total,USD_PPP,"Dollars des É-U, PPA convertis",LR,Volumes chaînés (rebasés),LA,Niveaux annuels,T0102,Tableau 0102 - PIB selon l'approche de la dépense,1980-Q2,,1584460.8,,2020,,,,F,Libre (libre pour publication),1,One,E,Estimated value,6,Millions,USD,Dollars des États-Unis
